step,drift_score
19232,6.165077437215777e-07
19264,6.411206069870374e-07
19296,6.648438486886854e-07
19328,5.551238558185634e-07
19360,9.687978829910507e-07
19392,8.593744306421992e-07
19424,1.6197043271800179e-06
19456,1.3068540772395347e-06
19488,1.486854173650789e-06
19520,1.2534767834108268e-06
19552,1.0699182007443252e-06
19584,9.696875045548625e-07
19616,6.835259015287333e-07
19648,7.867220029309021e-07
19680,7.277104391980527e-07
19712,6.847120636138157e-07
19744,4.910711032241138e-07
19776,4.3976959304429996e-07
19808,4.919607247879256e-07
19840,4.0685359518326335e-07
19872,4.477761871186062e-07
19904,7.318620064958411e-07
19936,5.628339093715991e-07
19968,5.592754231163518e-07
20000,4.967053731282552e-07
20032,5.981222314028005e-07
20064,6.004945555729652e-07
20096,7.953216780477496e-07
20128,8.261618922598919e-07
20160,6.313347697851077e-07
20192,8.866561585990943e-07
20224,1.2588145127936974e-06
20256,8.317961621640333e-07
20288,8.922904285032357e-07
20320,7.360135737936296e-07
20352,6.526856873165908e-07
20384,8.143002714090679e-07
20416,5.936741235837414e-07
20448,5.545307747760222e-07
20480,4.465900250335238e-07
20512,4.0833629778961637e-07
20544,5.70247422403364e-07
20576,7.879081650159846e-07
20608,1.0512361479042775e-06
20640,8.549263228231402e-07
20672,7.727845984311839e-07
20704,5.411864513188452e-07
20736,4.984846162558788e-07
20768,4.35321485225241e-07
20800,4.118947840448636e-07
20832,4.359145662677822e-07
20864,4.857333738412431e-07
20896,6.064253659983772e-07
20928,3.5110397718439054e-07
20960,5.16870128574656e-07
20992,7.757500036438899e-07
21024,4.792094823732898e-07
21056,4.955192110431728e-07
21088,8.074798394198442e-07
21120,7.072491432303813e-07
21152,9.513019922360852e-07
21184,6.956840629008279e-07
21216,6.185835273704718e-07
21248,5.871502321157882e-07
21280,7.253381150278879e-07
21312,5.343660193296214e-07
21344,6.648438486886854e-07
21376,6.826362799649214e-07
21408,6.944979008157454e-07
21440,6.05832284955836e-07
21472,5.782540164776702e-07
21504,3.3657349164213114e-07
21536,6.752227669331565e-07
21568,6.692919565077445e-07
21600,4.652720778735716e-07
21632,3.413181399824607e-07
21664,3.6919294898189715e-07
21696,3.2293262766368355e-07
21728,2.526525241225513e-07
21760,4.302802963636408e-07
21792,5.05008507723832e-07
21824,7.063595216665694e-07
21856,5.55420396339834e-07
21888,5.577927205099988e-07
21920,6.280728240511311e-07
21952,8.744979972269997e-07
21984,6.025703392218595e-07
22016,5.290282899467506e-07
22048,4.88698779053949e-07
22080,5.248767226489622e-07
22112,6.156181221577659e-07
22144,3.5822094969488496e-07
22176,4.611205105757832e-07
22208,6.007910960942358e-07
22240,5.53937693733481e-07
22272,5.907087183710355e-07
22304,5.690612603182817e-07
22336,6.322243913489195e-07
22368,4.495554302462298e-07
22400,4.089293788321576e-07
22432,6.168042842428483e-07
22464,5.592754231163518e-07
22496,5.910052588923061e-07
22528,6.076115280834596e-07
22560,4.418453766931942e-07
22592,3.5347630135455533e-07
22624,5.091600750216205e-07
22656,4.095224598746988e-07
22688,5.551238558185634e-07
22720,9.124551839496366e-07
22752,6.476444984549906e-07
22784,7.401651410914179e-07
22816,7.840531382394667e-07
22848,8.003628669093498e-07
22880,6.153215816364953e-07
22912,3.561451660459907e-07
22944,5.07973912936538e-07
22976,8.027351910795145e-07
23008,9.717632882037565e-07
23040,5.118289397130558e-07
23072,4.88698779053949e-07
23104,5.444483970528219e-07
23136,6.082046091260009e-07
23168,7.908735702286905e-07
23200,7.659641664419601e-07
23232,8.356511889405512e-07
23264,6.331140129127313e-07
23296,5.990118529666123e-07
23328,6.001980150516946e-07
23360,6.630646055610619e-07
23392,7.022079543687811e-07
23424,5.118289397130558e-07
23456,5.803298001265645e-07
23488,5.308075330743742e-07
23520,7.71301895824831e-07
23552,8.288307569513274e-07
23584,6.986494681135339e-07
23616,9.510054517148146e-07
23648,8.736083756631879e-07
23680,7.707088147822898e-07
23712,6.319278508276489e-07
23744,6.787812531884037e-07
23776,6.595061193058146e-07
23808,5.518619100845868e-07
23840,5.011534809473142e-07
23872,5.37627965063598e-07
23904,5.877433131583294e-07
23936,5.254698036915034e-07
23968,4.96112292085714e-07
24000,6.7700201006078e-07
24032,3.6889640846062654e-07
24064,3.066228989938005e-07
24096,3.8609575869432134e-07
24128,5.738059086586113e-07
24160,7.096214674005461e-07
24192,7.775292467715136e-07
24224,6.933117387306631e-07
24256,6.654369297312266e-07
24288,5.2873174942548e-07
24320,4.712028882989836e-07
24352,6.624715245185207e-07
24384,5.853709889881647e-07
24416,5.862606105519765e-07
24448,7.17924601996123e-07
24480,5.749920707436937e-07
24512,8.979246984073771e-07
24544,1.3270188326859356e-06
24576,9.92224584171428e-07
24608,8.715325920142938e-07
24640,9.139378865559896e-07
24672,4.187152160340874e-07
24704,5.930810425412002e-07
24736,3.4991781509930817e-07
24768,4.780233202882074e-07
24800,3.9261965016227455e-07
24832,3.5733132813107314e-07
24864,4.996707783409612e-07
24896,4.9907769729842e-07
24928,4.93146886873008e-07
24960,3.5881403073742617e-07
24992,5.542342342547516e-07
25024,5.509722885207751e-07
25056,4.44217700863359e-07
25088,8.122244877601738e-07
25120,8.937731311095888e-07
25152,8.516643770891635e-07
25184,8.178587576643152e-07
25216,9.091932382156599e-07
25248,8.658983221101524e-07
25280,6.921255766455807e-07
25312,6.882705498690629e-07
25344,4.682374830862776e-07
25376,4.919607247879256e-07
25408,5.213182363937151e-07
25440,4.4036267408684117e-07
25472,8.042178936858675e-07
25504,1.4061951518651858e-06
25536,1.0562773367658776e-06
25568,7.205934666875583e-07
25600,5.091600750216205e-07
25632,6.423067690721198e-07
25664,4.972984541707965e-07
25696,8.872492396416356e-07
25728,8.833942128651178e-07
25760,7.054699001027577e-07
25792,6.491272010613437e-07
25824,9.174963728112368e-07
25856,7.395720600488767e-07
25888,5.432622349677394e-07
25920,4.50148511288771e-07
25952,4.851402927987018e-07
25984,5.729162870947995e-07
26016,4.3116991792745256e-07
26048,5.829986648179998e-07
26080,7.689295716546661e-07
26112,8.492920529189988e-07
26144,6.630646055610619e-07
26176,5.975291503602593e-07
26208,6.503133631464261e-07
26240,5.076773724152674e-07
26272,5.471172617442572e-07
26304,7.247450339853467e-07
26336,6.811535773585685e-07
26368,4.925538058304668e-07
26400,5.263594252553153e-07
26432,5.607581257227048e-07
26464,5.42076072882657e-07
26496,5.755851517862348e-07
26528,5.121254802343264e-07
26560,5.616477472865167e-07
26592,4.409557551293824e-07
26624,4.4273499825700596e-07
26656,7.342343306660059e-07
26688,6.645473081674149e-07
26720,7.410547626552297e-07
26752,7.291931418044057e-07
26784,5.948602856688238e-07
26816,6.873809283052511e-07
26848,6.280728240511311e-07
26880,8.199345413132093e-07
26912,6.722573617204505e-07
26944,7.508405998571595e-07
26976,5.788470975202115e-07
27008,4.913676437453845e-07
27040,4.614170510970538e-07
27072,5.248767226489622e-07
27104,8.72125673056835e-07
27136,1.3074471582820759e-06
27168,1.3388804535367596e-06
27200,1.150280682008658e-06
27232,1.2276777580602845e-06
27264,1.0636908497976427e-06
27296,1.152356465657552e-06
27328,8.641190789825288e-07
27360,7.351239522298177e-07
27392,5.951568261900944e-07
27424,6.007910960942358e-07
27456,7.075456837516519e-07
27488,6.986494681135339e-07
27520,6.375621207317903e-07
27552,9.424057765979672e-07
27584,6.526856873165908e-07
27616,5.82109043254188e-07
27648,5.284352089042094e-07
27680,5.216147769149856e-07
27712,4.2257024281060517e-07
27744,4.789129418520192e-07
27776,7.502475188146183e-07
27808,7.410547626552297e-07
27840,7.852393003245491e-07
27872,8.682706462803171e-07
27904,9.821422064482277e-07
27936,8.412854588446926e-07
27968,9.320268583534962e-07
28000,7.757500036438899e-07
28032,6.838224420500039e-07
28064,6.102803927748951e-07
28096,3.1996722245097755e-07
28128,5.076773724152674e-07
28160,4.744648340329602e-07
28192,5.497861264356927e-07
28224,5.892260157646824e-07
28256,4.732786719478778e-07
28288,4.543000785865594e-07
28320,5.349591003721626e-07
28352,5.678750982331993e-07
28384,5.824055837754586e-07
28416,4.409557551293824e-07
28448,6.079080686047303e-07
28480,5.990118529666123e-07
28512,7.389789790063355e-07
28544,6.390448233381433e-07
28576,4.4896234920368857e-07
28608,5.975291503602593e-07
28640,4.925538058304668e-07
28672,5.829986648179998e-07
28704,4.394730525230294e-07
28736,4.4036267408684117e-07
28768,4.967053731282552e-07
28800,5.076773724152674e-07
28832,4.379903499166764e-07
28864,3.2174646557860113e-07
28896,3.7008257054570896e-07
28928,4.1901175655535795e-07
28960,4.356180257465116e-07
28992,4.53113916501477e-07
29024,3.5525554448217896e-07
29056,3.086986826426947e-07
29088,3.7601338097112097e-07
29120,4.1574981082138135e-07
29152,4.237564048956876e-07
29184,6.485341200188025e-07
29216,4.96112292085714e-07
29248,5.773643949138584e-07
29280,6.372655802105197e-07
29312,4.964088326069846e-07
29344,4.892918600964902e-07
29376,4.543000785865594e-07
29408,4.332457015763468e-07
29440,6.387482828168727e-07
29472,3.6830332741808533e-07
29504,5.130151017981382e-07
29536,5.343660193296214e-07
29568,3.970677579813336e-07
29600,3.1285024994048313e-07
